#STIG ID,Legacy Group ID,Legacy Rule ID,Old Rule ID,New Group ID,New Rule ID
WN19-PK-000020,V-93489,SV-103575,SV-103575r1_rule,V-205649,SV-205649r569286_rule
WN19-PK-000030,V-93491,SV-103577,SV-103577r1_rule,V-205650,SV-205650r569283_rule
WN19-SO-000010,V-93497,SV-103583,SV-103583r1_rule,V-205709,SV-205709r569188_rule
WN19-SO-000020,V-93279,SV-103367,SV-103367r1_rule,V-205908,SV-205908r569188_rule
WN19-SO-000030,V-93281,SV-103369,SV-103369r1_rule,V-205909,SV-205909r569188_rule
WN19-SO-000040,V-93283,SV-103371,SV-103371r1_rule,V-205910,SV-205910r569188_rule
WN19-SO-000050,V-93151,SV-103239,SV-103239r1_rule,V-205644,SV-205644r569188_rule
WN19-SO-000060,V-93547,SV-103633,SV-103633r1_rule,V-205821,SV-205821r569188_rule
WN19-SO-000070,V-93549,SV-103635,SV-103635r1_rule,V-205822,SV-205822r569188_rule
WN19-SO-000080,V-93551,SV-103637,SV-103637r1_rule,V-205823,SV-205823r569188_rule
WN19-SO-000090,V-93455,SV-103541,SV-103541r1_rule,V-205815,SV-205815r569188_rule
WN19-SO-000100,V-93285,SV-103373,SV-103373r1_rule,V-205911,SV-205911r569188_rule
WN19-SO-000110,V-93553,SV-103639,SV-103639r1_rule,V-205824,SV-205824r569188_rule
WN19-SO-000120,V-92961,SV-103049,SV-103049r1_rule,V-205633,SV-205633r569188_rule
WN19-SO-000130,V-93147,SV-103235,SV-103235r1_rule,V-205631,SV-205631r569188_rule
WN19-SO-000140,V-93149,SV-103237,SV-103237r1_rule,V-205632,SV-205632r569188_rule
WN19-SO-000150,V-93287,SV-103375,SV-103375r1_rule,V-205912,SV-205912r569188_rule
WN19-SO-000160,V-93555,SV-103641,SV-103641r1_rule,V-205825,SV-205825r569188_rule
WN19-SO-000170,V-93557,SV-103643,SV-103643r1_rule,V-205826,SV-205826r569188_rule
WN19-SO-000180,V-93469,SV-103555,SV-103555r1_rule,V-205655,SV-205655r569188_rule
WN19-SO-000190,V-93559,SV-103645,SV-103645r1_rule,V-205827,SV-205827r569188_rule
WN19-SO-000200,V-93561,SV-103647,SV-103647r1_rule,V-205828,SV-205828r569188_rule
WN19-SO-000210,V-93289,SV-103377,SV-103377r1_rule,V-205913,SV-205913r569188_rule
WN19-SO-000220,V-93291,SV-103379,SV-103379r1_rule,V-205914,SV-205914r569188_rule
WN19-SO-000230,V-93537,SV-103623,SV-103623r1_rule,V-205724,SV-205724r569188_rule
WN19-SO-000240,V-93293,SV-103381,SV-103381r1_rule,V-205915,SV-205915r569188_rule
WN19-SO-000250,V-93539,SV-103625,SV-103625r1_rule,V-205725,SV-205725r569188_rule
WN19-SO-000260,V-93295,SV-103383,SV-103383r1_rule,V-205916,SV-205916r569188_rule
WN19-SO-000270,V-93297,SV-103385,SV-103385r1_rule,V-205917,SV-205917r569188_rule
WN19-SO-000280,V-93299,SV-103387,SV-103387r1_rule,V-205918,SV-205918r569188_rule
WN19-SO-000290,V-93495,SV-103581,SV-103581r1_rule,V-205708,SV-205708r569188_rule
WN19-SO-000300,V-93467,SV-103553,SV-103553r1_rule,V-205654,SV-205654r569188_rule
WN19-SO-000310,V-93301,SV-103389,SV-103389r1_rule,V-205919,SV-205919r569188_rule
WN19-SO-000320,V-93303,SV-103391,SV-103391r1_rule,V-205920,SV-205920r569188_rule
WN19-SO-000330,V-93305,SV-103393,SV-103393r1_rule,V-205921,SV-205921r569188_rule
WN19-SO-000340,V-93307,SV-103395,SV-103395r1_rule,V-205922,SV-205922r569188_rule
WN19-SO-000350,V-93493,SV-103579,SV-103579r1_rule,V-205651,SV-205651r569188_rule
WN19-SO-000360,V-93511,SV-103597,SV-103597r1_rule,V-205842,SV-205842r569188_rule
WN19-SO-000370,V-93309,SV-103397,SV-103397r1_rule,V-205923,SV-205923r569188_rule
WN19-SO-000380,V-93431,SV-103517,SV-103517r1_rule,V-205811,SV-205811r569188_rule
WN19-SO-000390,V-93521,SV-103607,SV-103607r1_rule,V-205716,SV-205716r569188_rule
WN19-SO-000400,V-93523,SV-103609,SV-103609r1_rule,V-205717,SV-205717r569188_rule
WN19-SO-000410,V-93433,SV-103519,SV-103519r1_rule,V-205812,SV-205812r569188_rule
WN19-SO-000420,V-93525,SV-103611,SV-103611r1_rule,V-205718,SV-205718r569188_rule
WN19-SO-000430,V-93527,SV-103613,SV-103613r1_rule,V-205719,SV-205719r569188_rule
WN19-SO-000440,V-93435,SV-103521,SV-103521r1_rule,V-205813,SV-205813r569188_rule
WN19-SO-000450,V-93529,SV-103615,SV-103615r1_rule,V-205720,SV-205720r569188_rule
WN19-UC-000010,V-93311,SV-103399,SV-103399r1_rule,V-205924,SV-205924r569188_rule
WN19-UR-000010,V-93049,SV-103137,SV-103137r1_rule,V-205749,SV-205749r569188_rule
WN19-UR-000020,V-93051,SV-103139,SV-103139r1_rule,V-205750,SV-205750r569188_rule
WN19-UR-000030,V-93017,SV-103105,SV-103105r1_rule,V-205676,SV-205676r569188_rule
WN19-UR-000040,V-93053,SV-103141,SV-103141r1_rule,V-205751,SV-205751r569188_rule
WN19-UR-000050,V-93055,SV-103143,SV-103143r1_rule,V-205752,SV-205752r569188_rule
WN19-UR-000060,V-93057,SV-103145,SV-103145r1_rule,V-205753,SV-205753r569188_rule
WN19-UR-000070,V-93059,SV-103147,SV-103147r1_rule,V-205754,SV-205754r569188_rule
WN19-UR-000080,V-93061,SV-103149,SV-103149r1_rule,V-205755,SV-205755r569188_rule
WN19-UR-000090,V-93063,SV-103151,SV-103151r1_rule,V-205756,SV-205756r569188_rule
WN19-UR-000100,V-93065,SV-103153,SV-103153r1_rule,V-205757,SV-205757r569188_rule
WN19-UR-000110,V-93067,SV-103155,SV-103155r1_rule,V-205758,SV-205758r569188_rule
WN19-UR-000120,V-93069,SV-103157,SV-103157r1_rule,V-205759,SV-205759r569188_rule
WN19-UR-000130,V-93071,SV-103159,SV-103159r1_rule,V-205760,SV-205760r569188_rule
WN19-UR-000140,V-93073,SV-103161,SV-103161r1_rule,V-205761,SV-205761r569188_rule
WN19-UR-000150,V-93075,SV-103163,SV-103163r1_rule,V-205762,SV-205762r569188_rule
WN19-UR-000160,V-93077,SV-103165,SV-103165r1_rule,V-205763,SV-205763r569188_rule
WN19-UR-000170,V-93197,SV-103285,SV-103285r1_rule,V-205643,SV-205643r569188_rule
WN19-UR-000180,V-93079,SV-103167,SV-103167r1_rule,V-205764,SV-205764r569188_rule
WN19-UR-000190,V-93081,SV-103169,SV-103169r1_rule,V-205765,SV-205765r569188_rule
WN19-UR-000200,V-93083,SV-103171,SV-103171r1_rule,V-205766,SV-205766r569188_rule
WN19-UR-000210,V-93085,SV-103173,SV-103173r1_rule,V-205767,SV-205767r569188_rule
WN19-UR-000220,V-93087,SV-103175,SV-103175r1_rule,V-205768,SV-205768r569188_rule
